strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,bmi,22.6,22.4,22.8,Continuous,NA,"22.6 (22.4, 22.8)",66057,status
Analytic,age,58.5,58.3,58.8,Continuous,NA,"58.5 (58.3, 58.8)",68596,status
Excluded,age,58.9,57.9,59.9,Continuous,NA,"58.9 (57.9, 59.9)",4800,status
Analytic,highwc,45.4,44.1,46.8,Proportion,NA,"45.4 (44.1, 46.8)",66036,status
Analytic,htn,47,45.8,48.3,Proportion,NA,"47 (45.8, 48.3)",68596,status
Analytic,highbp,30.2,29.3,31.2,Proportion,NA,"30.2 (29.3, 31.2)",66680,status
Analytic,diaghtn,42.1,40.8,43.5,Proportion,NA,"42.1 (40.8, 43.5)",18403,status
Analytic,htn_disease,44.5,43.3,45.7,Proportion,NA,"44.5 (43.3, 45.7)",68596,status
Analytic,htn_diagnosed,25.9,25,26.8,Proportion,NA,"25.9 (25, 26.8)",68596,status
Analytic,htn_treated,17.8,16.9,18.8,Proportion,NA,"17.8 (16.9, 18.8)",68596,status
Analytic,htn_controlled,9.9,9.2,10.6,Proportion,NA,"9.9 (9.2, 10.6)",68596,status
Analytic,residence,68.7,64.8,72.5,Grouped,Rural,"68.7 (64.8, 72.5)",68596,status
Analytic,residence,31.3,27.5,35.2,Grouped,Urban,"31.3 (27.5, 35.2)",68596,status
Excluded,residence,62.3,56.2,68.5,Grouped,Rural,"62.3 (56.2, 68.5)",4800,status
Excluded,residence,37.7,31.5,43.8,Grouped,Urban,"37.7 (31.5, 43.8)",4800,status
Analytic,sex,58.2,57.6,58.8,Grouped,Female,"58.2 (57.6, 58.8)",68596,status
Analytic,sex,41.8,41.2,42.4,Grouped,Male,"41.8 (41.2, 42.4)",68596,status
Excluded,sex,56,51.7,60.3,Grouped,Female,"56 (51.7, 60.3)",4800,status
Excluded,sex,44,39.7,48.3,Grouped,Male,"44 (39.7, 48.3)",4800,status
Analytic,age_category,2.9,2.5,3.2,Grouped,1,"2.9 (2.5, 3.2)",68596,status
Analytic,age_category,65,64.2,65.9,Grouped,2,"65 (64.2, 65.9)",68596,status
Analytic,age_category,32.1,31.3,32.9,Grouped,3,"32.1 (31.3, 32.9)",68596,status
Excluded,age_category,3,2.3,3.8,Grouped,1,"3 (2.3, 3.8)",4800,status
Excluded,age_category,64.2,60.3,68,Grouped,2,"64.2 (60.3, 68)",4800,status
Excluded,age_category,32.8,28.9,36.7,Grouped,3,"32.8 (28.9, 36.7)",4800,status
Analytic,age_category10,0.1,0.1,0.2,Grouped,"[18,30]","0.1 (0.1, 0.2)",68576,status
Analytic,age_category10,4,3.6,4.3,Grouped,"(30,40]","4 (3.6, 4.3)",68576,status
Analytic,age_category10,26.1,25.3,26.8,Grouped,"(40,50]","26.1 (25.3, 26.8)",68576,status
Analytic,age_category10,28.3,27.6,29,Grouped,"(50,60]","28.3 (27.6, 29)",68576,status
Analytic,age_category10,26.2,25.4,26.9,Grouped,"(60,70]","26.2 (25.4, 26.9)",68576,status
Analytic,age_category10,11.9,11.2,12.5,Grouped,"(70,80]","11.9 (11.2, 12.5)",68576,status
Analytic,age_category10,3.5,3.3,3.8,Grouped,"(80,100]","3.5 (3.3, 3.8)",68576,status
Analytic,age_category10,0,0,0.1,Grouped,NA,"0 (0, 0.1)",68576,status
