strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,bmi,22.5,22.2,22.7,Continuous,NA,"22.5 (22.2, 22.7)",59850,status
Analytic,age,60.2,60,60.4,Continuous,NA,"60.2 (60, 60.4)",60483,status
Excluded,age,59.6,59.1,60.2,Continuous,NA,"59.6 (59.1, 60.2)",6716,status
Excluded 2,bmi,23.9,23.5,24.3,Continuous,NA,"23.9 (23.5, 24.3)",6182,status
Excluded 2,age,40.2,40,40.4,Continuous,NA,"40.2 (40, 40.4)",6197,status
Analytic,highwc,43.9,42.6,45.2,Proportion,NA,"43.9 (42.6, 45.2)",59831,status
Analytic,htn,47,45.9,48.1,Proportion,NA,"47 (45.9, 48.1)",60483,status
Analytic,highbp,31.5,30.6,32.3,Proportion,NA,"31.5 (30.6, 32.3)",60483,status
Analytic,diaghtn,40.7,39.4,42.1,Proportion,NA,"40.7 (39.4, 42.1)",17442,status
Analytic,htn_disease,47,45.9,48.1,Proportion,NA,"47 (45.9, 48.1)",60483,status
Analytic,htn_diagnosed,27.1,26.1,28.2,Proportion,NA,"27.1 (26.1, 28.2)",60483,status
Analytic,htn_treated,19.6,18.5,20.7,Proportion,NA,"19.6 (18.5, 20.7)",60483,status
Analytic,htn_controlled,16.1,15.3,16.9,Proportion,NA,"16.1 (15.3, 16.9)",60483,status
Excluded,htn,100,100,100,Proportion,NA,"100 (100, 100)",1916,status
Excluded,htn_disease,20.5,15.1,25.9,Proportion,NA,"20.5 (15.1, 25.9)",1916,status
Excluded,htn_diagnosed,20.5,15.1,25.9,Proportion,NA,"20.5 (15.1, 25.9)",1916,status
Excluded,htn_treated,0,0,0,Proportion,NA,"0 (0, 0)",1916,status
Excluded,htn_controlled,0,0,0,Proportion,NA,"0 (0, 0)",1916,status
Excluded 2,highwc,61.3,58.6,64,Proportion,NA,"61.3 (58.6, 64)",6180,status
Excluded 2,htn,27.6,23.7,31.5,Proportion,NA,"27.6 (23.7, 31.5)",6197,status
Excluded 2,highbp,17.1,13,21.2,Proportion,NA,"17.1 (13, 21.2)",6197,status
Excluded 2,diaghtn,27.4,22.9,32,Proportion,NA,"27.4 (22.9, 32)",961,status
Excluded 2,htn_disease,27.6,23.7,31.5,Proportion,NA,"27.6 (23.7, 31.5)",6197,status
Excluded 2,htn_diagnosed,14.8,13.1,16.4,Proportion,NA,"14.8 (13.1, 16.4)",6197,status
Excluded 2,htn_treated,6.7,5.7,7.7,Proportion,NA,"6.7 (5.7, 7.7)",6197,status
Excluded 2,htn_controlled,10.7,9.4,12,Proportion,NA,"10.7 (9.4, 12)",6197,status
