"","var_name","var_desc","var_type","class"
"1","prim_key","Primary key",1,"character"
"2","hhid","Household identifier",1,"character"
"3","stateid","Stateid",0,"numeric"
"4","state","State",1,"character"
"5","ssuid","Ssuid",0,"numeric"
"6","residence","Place of residence",0,"numeric"
"7","stateindividualweight","State individual weight",0,"numeric"
"8","indiaindividualweight","India individual weight",0,"numeric"
"9","bm001","Blood pressure consent",0,"numeric"
"10","bm002","Have had smoke, alcohol, food or exercised 30 min. prior to the test",0,"numeric"
"11","bm003","Local skin reactions where blood pressure cuff contact (left hand)",0,"numeric"
"12","bm004","Local skin reactions where blood pressure cuff contact (right hand))",0,"numeric"
"13","bm006","Blood pressure_1st systolic reading",0,"numeric"
"14","bm007","Blood pressure_1st diastolic reading",0,"numeric"
"15","bm008","Blood pressure_1st pulse reading ",0,"numeric"
"16","bm010","Blood pressure_2nd systolic reading",0,"numeric"
"17","bm011","Blood pressure_2nd daistolic reading ",0,"numeric"
"18","bm012","Blood pressure_2nd pulse reading ",0,"numeric"
"19","bm014","Blood pressure_3rd systolic reading",0,"numeric"
"20","bm015","Blood pressure_3rd diastolic reading ",0,"numeric"
"21","bm016","Blood pressure_3rd pulse reading ",0,"numeric"
"22","bm017","Blood pressure_average of last 2 systolic reading",0,"numeric"
"23","bm018","Blood pressure_average of last 2 diastolic reading",0,"numeric"
"24","bm019","Blood pressure_average of last 2 pulse reading",0,"numeric"
"25","bm020","Blood pressure_arm used ",0,"numeric"
"26","bm021","Blood pressure_respondent's position during test",0,"numeric"
"27","bm022","Blood pressure_respondent's compliance",0,"numeric"
"28","bm024","Grip strength_history of injury,localize reaction or treatment in one/both hand",0,"numeric"
"29","bm025","Grip strength_problems in which hand",0,"numeric"
"30","bm026","Grip strength_dominant hand",0,"numeric"
"31","bm028","Grip strength_1st measurement (lf hand)",0,"numeric"
"32","bm029","Grip strength_1st  measurement (rt hand)",0,"numeric"
"33","bm030","Grip strength_2nd measurement (lf hand)",0,"numeric"
"34","bm031","Grip strength_2nd measurement (rt hand)",0,"numeric"
"35","bm032","Grip strength_range of efforts",0,"numeric"
"36","bm033","Grip strength_respondents position ",0,"numeric"
"37","bm034","Grip strength_support to the arm during test",0,"numeric"
"38","bm036","Balance test_history of recent surgery, injury or other conditions",0,"numeric"
"39","bm037","Balance test_semi tandem_consent ",0,"numeric"
"40","bm038","Balance test_semi tandem_able to perform for 10 seconds",0,"numeric"
