"","var_name","var_desc","var_type","class"
"1","hhid","Household ID",1,"character"
"2","stateid","State ID",0,"numeric"
"3","state","State",1,"character"
"4","metrocity","Metrocities",0,"numeric"
"5","ssuid","Ssuid",0,"numeric"
"6","residence","Place of residence",0,"numeric"
"7","household_size","Total number of household members",0,"numeric"
"8","mpce_quintile","MPCE quintile",0,"numeric"
"9","religion","Religion of head of the HH",0,"numeric"
"10","caste","Caste of head of the HH",0,"numeric"
"11","statehhweight","state weight at HH level",0,"numeric"
"12","indiahhweight","india weight at HH level",0,"numeric"
"13","he001","Total rooms in house",0,"numeric"
"14","he002","Number of bedrooms in house",0,"numeric"
"15","he003","Separate room for kitchen",0,"numeric"
"16","he004","Type of toilet facility",0,"numeric"
"17","he004_other","Type of toilet facility - other",1,"character"
"18","he004a","Where does the toilet flush to?",0,"numeric"
"19","he004b","Distance to the nearest space/field (Meters)",0,"numeric"
"20","he005","Do you share the toilet facility with other households?",0,"numeric"
"21","he005a","No of people using Toilet facility",0,"numeric"
"22","he006","Main source of drinking water",0,"numeric"
"23","he006_other","Main source of drinking water- other",1,"character"
"24","he007","Location of water source",0,"numeric"
"25","he008","Time taken to fetch water (Minutes)",0,"numeric"
"26","he009","Trips to fetch water per day",0,"numeric"
"27","he010_hours","Total time household receives water- hours",0,"numeric"
"28","he010_minutes","Total time household receives water- Minutes ",0,"numeric"
"29","he010_unit_0","Water supply - unit",0,"numeric"
"30","he011","Do you do anything to make the water safer?",0,"numeric"
"31","he012","Procedure done to make water safer",0,"numeric"
"32","he012s1","Procedure done to make water safer - 1 Boil it",0,"numeric"
"33","he012s2","Procedure done to make water safer - 2 Use alum",0,"numeric"
"34","he012s3","Procedure done to make water safer - 3 Add chlorine/bleaching powder",0,"numeric"
"35","he012s4","Procedure done to make water safer - 4 Strain through a cloth",0,"numeric"
"36","he012s5","Procedure done to make water safer - 5 Use water filter (ceramic/sand/composite/",0,"numeric"
"37","he012s6","Procedure done to make water safer - 6 Use electronic water purifier",0,"numeric"
"38","he012s7","Procedure done to make water safer - 7 Other, please specify",0,"numeric"
"39","he012_other","Procedure done to make water safer - other",1,"character"
"40","he013","HH has electricity",0,"numeric"
"41","he013a","Number of hours HH receives electricity",0,"numeric"
"42","he013a_unit_0","Electricity supply - unit-(day/week)",0,"numeric"
"43","he014","Main source of cooking fuel",0,"numeric"
"44","he014_other","Main source of cooking fuel - other",1,"character"
"45","he014a","Use fuel other than main cooking fuel for any purpose",0,"numeric"
"46","he014b","Other sources of fuel",1,"character"
"47","he014b_other","Other than the mentioned sources of fuel- other",1,"character"
"48","he014bs1","Other sources of fuel - 1 Liquefied Petroleum Gas (LPG)",0,"numeric"
"49","he014bs2","Other sources of fuel - 2 Biogas",0,"numeric"
"50","he014bs3","Other sources of fuel - 3 Kerosene",0,"numeric"
"51","he014bs4","Other sources of fuel - 4 Electric",0,"numeric"
"52","he014bs5","Other sources of fuel - 5 Charcoal/Lignite/Coal",0,"numeric"
"53","he014bs6","Other sources of fuel - 6 Crop residue",0,"numeric"
"54","he014bs7","Other sources of fuel - 7 Wood/Shrub",0,"numeric"
"55","he014bs8","Other sources of fuel - 8 Dung cake",0,"numeric"
"56","he014bs9","Other sources of fuel - 9 Other, please specify",0,"numeric"
"57","he014c_hours","Time HH use solid fuel - Hours",0,"numeric"
"58","he014c_minutes","Time HH use solid fuel - minutes",0,"numeric"
"59","he015","Food mostly cooked on",0,"numeric"
"60","he015_other","Food mostly cooked on - other",1,"character"
"61","he016","Usual place for cooking",0,"numeric"
"62","he016_other","Usual place for cooking - other",1,"character"
"63","he017","Cooking mainly done under-traditional chimney/exhaust fan/ electric chimney/near",0,"numeric"
"64","he018","Does any HH memeber smoke inside home?",0,"numeric"
"65","he018a_hours","Time smoke inside home - Hours",0,"numeric"
"66","he018a_minutes","Time smoke inside home - Minutes",0,"numeric"
"67","he019a","Use of incense sticks (Agarbatti)",0,"numeric"
"68","he019b","Use of mosquito coil",0,"numeric"
"69","he019c","Use of liquid vaporizer/mosquito repellent/mats",0,"numeric"
"70","he019d","Use of fast card/stick/cake",0,"numeric"
"71","he020a_hours","Time exposed to incense stick - Hours",0,"numeric"
"72","he020a_minutes","Time exposed to incense stick - minutes",0,"numeric"
"73","he020b_hours","Time exposed to mosquito coil - Hours",0,"numeric"
"74","he020b_minutes","Time exposed to mosquito coil - Minutes",0,"numeric"
"75","he020c_hours","Time exposed to liquid vaporizer - Hours",0,"numeric"
"76","he020c_minutes","Time exposed to liquid vaporizer - Minutes",0,"numeric"
"77","he020d_hours","Time exposed to fast card/stick/cake - Hours",0,"numeric"
"78","he020d_minutes","Time exposed to fast card/stick/cake - Minutes",0,"numeric"
"79","he021","Any wall/ceiling in house damp/wet",1,"character"
"80","he021s1","Any wall/ceiling in house damp/wet - 1 Yes, living room or bedroom",0,"numeric"
"81","he021s2","Any wall/ceiling in house damp/wet - 2 Yes, kitchen or dining hall",0,"numeric"
"82","he021s3","Any wall/ceiling in house damp/wet - 3 Yes, bathroom or toilet",0,"numeric"
"83","he021s4","Any wall/ceiling in house damp/wet - 4 No",0,"numeric"
"84","he022","Respondent of this section",0,"numeric"
"85","he023","Assistance received in answering",0,"numeric"
"86","he024","Type of house",0,"numeric"
"87","co001","Primary person who purchases food for HH",0,"numeric"
"88","co002a","Cereals & Cereal products in INR",0,"numeric"
"89","co002b","Pulses and pulse products in INR",0,"numeric"
"90","co002c","Edible oil in INR",0,"numeric"
"91","co002d","Milk and Milk products in INR",0,"numeric"
"92","co002e","Fruits & Vegetables in INR",0,"numeric"
"93","co002f","Eggs, Chicken , Meat, Fish in INR",0,"numeric"
"94","co002g","Non-alcoholic drinks and beverages in INR",0,"numeric"
"95","co002h","Alcoholic drinks in INR",0,"numeric"
"96","co002i","All other food items in INR",0,"numeric"
"97","co002j","Value of Food eaten outside in INR",0,"numeric"
"98","co003","Value of food consumption in last 7 days",0,"numeric"
"99","co101","Communication fees",0,"numeric"
"100","co102","Fuels and utilities in INR",0,"numeric"
"101","co103","House rent in INR",0,"numeric"
"102","co104","Tobacco and tobacco products in INR",0,"numeric"
"103","co105","Personal toiletries in INR",0,"numeric"
"104","co106","Entertainment in INR",0,"numeric"
"105","co107","Other Expenses in INR",0,"numeric"
"106","co107a","Other Expenses  in INR",0,"numeric"
"107","co108","Medication of survived person",0,"numeric"
"108","co108b","Medication of deceased person",0,"numeric"
"109","co109","Tests on outpatient heath care in last 30 days in INR",0,"numeric"
"110","co109b","Tests of deceased person",0,"numeric"
"111","co110","Doctors fees in last 30 days in INR",0,"numeric"
"112","co110b","Doctors fees of deceased person",0,"numeric"
"113","co111","Any other medical expenses in last 30 days in INR",0,"numeric"
"114","co111b","Any other medical expenses of deceased person",0,"numeric"
"115","co112","Total Health care expense in last 30 days in INR",0,"numeric"
"116","co112b","Total Health care expense out-patient in last 30 days of deceased person",0,"numeric"
"117","co201","HH spent money on hospitalization or nursing home charges in past 12 months",0,"numeric"
"118","co202","Hospitalization and nursing home stays",0,"numeric"
"119","co202b","Health care expenditure on deceased in last 12 months",0,"numeric"
"120","co203","Tests on inpatient in INR",0,"numeric"
"121","co203b","Tests on deceased in last 12 months in INR",0,"numeric"
"122","co204","Medicine on inpatient in INR",0,"numeric"
"123","co204b","Medicine on deceased in last 12 months in INR",0,"numeric"
"124","co205","Doctors fees on inpatient in INR",0,"numeric"
"125","co205b","Doctors fees on deceased in last 12 months",0,"numeric"
"126","co206","Any other medical expenses on inpatient in INR",0,"numeric"
"127","co206b","Any other medical expenses on deceased in last 12 months",0,"numeric"
"128","co207","Total health expenses on inpatient visits in past 12 months in INR",0,"numeric"
"129","co207a","Total health expenses on deceased in last 12 months in INR",0,"numeric"
"130","co207b","Receive any free medicine/tests/treatments for outpatient/inpatient in INR",0,"numeric"
"131","co208","Amount HH received as reimbursement for medical expences in past 12 months",0,"numeric"
"132","co209","Clothing, bedding, and footwear in INR in INR",0,"numeric"
"133","co210","Education and training  in INR",0,"numeric"
"134","co211","Durables  in INR",0,"numeric"
"135","co212","Jewelry and ornaments  in INR",0,"numeric"
"136","co213","Rituals, Festivals and Ceremonies",0,"numeric"
"137","co214","Taxes and  non-health insurance premium  in INR",0,"numeric"
"138","co215","Loan repayment  in INR",0,"numeric"
"139","co216","Any other expenses in INR",0,"numeric"
"140","co301","HH having a ration card",0,"numeric"
"141","co302","Types of ration cards",0,"numeric"
"142","co302_other","Types of cards other",1,"character"
"143","co303","Use of cards in last 30 days",1,"character"
"144","co303s1","Use of cards in last 30 days 1 Yes used household ration card",0,"numeric"
"145","co303s2","Use of cards in last 30 days 2 Yes, used relative/ friends ration card",0,"numeric"
"146","co303s3","Use of cards in last 30 days 3 No",0,"numeric"
"147","co304a","Rice in Kg",0,"numeric"
"148","co304b","Wheat in Kg",0,"numeric"
"149","co304c","Millet in Kg",0,"numeric"
"150","co304d","Sugar in Kg",0,"numeric"
"151","co304e","Kerosene in Kg",0,"numeric"
"152","co304f","Edible Oil in Kg",0,"numeric"
"153","co304g","Quantity purchased using ration card for other item-1",0,"numeric"
"154","co304g_other","Name of other item-1st",1,"character"
"155","co304h","Quantity purchased using ration card for other item-2",0,"numeric"
"156","co304h_other","Name of other item-2nd",1,"character"
"157","co305a","Price of rice per kg",0,"numeric"
"158","co305b","Price of wheat per kg",0,"numeric"
"159","co305c","Price of millet per kg",0,"numeric"
"160","co305d","Price of sugar per kg",0,"numeric"
"161","co305e","Price of kerosene per litre",0,"numeric"
"162","co305f","Price of Edible oil per litre",0,"numeric"
"163","co305g","Price of other item-1 per kg/litre",0,"numeric"
"164","co305h","Price of other item-2 per kg/litre",0,"numeric"
"165","co306","Person ID of respondent who gave information of consumption section",0,"numeric"
"166","co307","Respondent receive assistance",0,"numeric"
"167","ad002","Own current residence",0,"numeric"
"168","ad003","Own other residential or commercial properties",0,"numeric"
"169","ad004","Own land including both cultivated and non-cultivated",0,"numeric"
"170","ad005","Own farming assets",0,"numeric"
"171","ad006","Own business assets",0,"numeric"
"172","ad007","Own financial assets",0,"numeric"
"173","ad101","Owner of current residence",0,"numeric"
"174","ad101_other","Owner of current residence-other",1,"character"
"175","ad102","Security deposit for renting house",0,"numeric"
"176","ad103","Amount of security deposit",0,"numeric"
"177","ad201","Registered owner of house in HH",0,"numeric"
"178","ad202","Owner(HH member) of the house",0,"numeric"
"179","ad202_5","Owner(HH member) of the house - other",0,"numeric"
"180","ad202s1","Owner(HH member) of the house 1 HHMemberName[1]",0,"numeric"
"181","ad202s2","Owner(HH member) of the house 2 HHMemberName[2]",0,"numeric"
"182","ad202s3","Owner(HH member) of the house 3 HHMemberName[3]",0,"numeric"
