"","var_name","var_desc","var_type","class"
"1","stateid","Stateid",0,"numeric"
"2","state","State",1,"character"
"3","ssuid","SSU id",0,"numeric"
"4","metrocity","Metrocities",0,"numeric"
"5","residence","Place of residence",0,"numeric"
"6","status","Completion status",0,"numeric"
"7","rcen1","Total number of household in the village",0,"numeric"
"8","rcen2","Total population of the village ",0,"numeric"
"9","rcen3","Total male population",0,"numeric"
"10","rcen4","Total female population",0,"numeric"
"11","rcen5","Total scheduled caste (sc) population",0,"numeric"
"12","rcen6","Total scheduled tribe (st) population",0,"numeric"
"13","rcen7","Total male literate population",0,"numeric"
"14","rcen8","Total female literate population",0,"numeric"
"15","rcen9","Total workers",0,"numeric"
"16","rcen10","Total main workers",0,"numeric"
"17","rcen11","Total marginal workers",0,"numeric"
"18","rcen12","Total area of the village",0,"numeric"
"19","ra001","Current population of village ",0,"numeric"
"20","ra002","Total number of households",0,"numeric"
"21","ra003","Percentage of households under below poverty line (bpl) category",0,"numeric"
"22","ra004","Approximate percentage of residents received aadhar card (uid)?",0,"numeric"
"23","ra005a_1","Major occupations among men",1,"character"
"24","ra005a_2","Major occupations among men",1,"character"
"25","ra005a_3","Major occupations among men",1,"character"
"26","ra005b_1","Seasonal occupation among men",0,"numeric"
"27","ra005b_2","Seasonal occupation among men",0,"numeric"
"28","ra005b_3","Seasonal occupation among men",0,"numeric"
"29","ra005c_1","Number of months job available",0,"numeric"
"30","ra005c_2","Number of months job available",0,"numeric"
"31","ra005c_3","Number of months job available",0,"numeric"
"32","ra005d_1","Wages in cash per day",0,"numeric"
"33","ra005d_2","Wages in cash per day",0,"numeric"
"34","ra005d_3","Wages in cash per day",0,"numeric"
"35","ra006a_1","Major occupations among women",1,"character"
"36","ra006a_2","Major occupations among women",1,"character"
"37","ra006a_3","Major occupations among women",1,"character"
"38","ra006b_1","Seasonal occupation among women",0,"numeric"
"39","ra006b_2","Seasonal occupation among women",0,"numeric"
"40","ra006b_3","Seasonal occupation among women",0,"numeric"
"41","ra006c_1","Number of months job available",0,"numeric"
"42","ra006c_2","Number of months job available",0,"numeric"
"43","ra006c_3","Number of months job available",0,"numeric"
"44","ra006d_1","Wages in cash per day",0,"numeric"
"45","ra006d_2","Wages in cash per day",0,"numeric"
"46","ra006d_3","Wages in cash per day",0,"numeric"
"47","ra007a","Existing minimum wage for casual labor- men",0,"numeric"
"48","ra007b","Existing minimum wage for casual labor- women",0,"numeric"
"49","ra008","Govt mandated minimum wage per day",0,"numeric"
"50","ra009_1","Major crops grown",0,"numeric"
"51","ra009_2","Major crops grown",0,"numeric"
"52","ra009_3","Major crops grown",0,"numeric"
"53","ra009a_1","Crops sold",0,"numeric"
"54","ra009a_2","Crops sold",0,"numeric"
"55","ra009a_3","Crops sold",0,"numeric"
"56","ra010a","Arable land in the village- irrigated land",0,"numeric"
"57","ra010b","Arable land in the village- non-irrigated land",0,"numeric"
"58","ra011","The main source of irrigation",0,"numeric"
"59","ra011_other","The main source of irrigation- other",1,"character"
"60","ra012","The average price of irrigated land in village",0,"numeric"
"61","ra013","Gender of the current pradhan /gram panchayat chairperson",0,"numeric"
"62","ra014","Pradhan/ gram panchayat chairperson belong to sc/st",0,"numeric"
"63","ra015_1","2 major religions in village",0,"numeric"
"64","ra015_2","2 major religions in village",0,"numeric"
"65","ra015_other_1","2 major religions in village- other",1,"character"
"66","ra015_other_2","2 major religions in village- other",1,"character"
"67","ra015a_1","Percentage of households of this religion",0,"numeric"
"68","ra015a_2","Percentage of households of this religion",0,"numeric"
"69","ra016a_1","2 major castes in village",1,"character"
"70","ra016a_2","2 major castes in village",1,"character"
"71","ra016b_1","Percentage of household of this caste",0,"numeric"
"72","ra016b_2","Percentage of household of this caste",0,"numeric"
"73","ra016c_1","Caste belongs to sc/st/obc/others",0,"numeric"
"74","ra016c_2","Caste belongs to sc/st/obc/others",0,"numeric"
"75","ra017_1","2 major languages spoken in village",0,"numeric"
"76","ra017_2","2 major languages spoken in village",0,"numeric"
"77","ra017_other_1","2 major languages spoken- other",1,"character"
"78","ra017_other_2","2 major languages spoken- other",1,"character"
"79","ra017b","Sex of the respondent",0,"numeric"
"80","ra017c","Age completed",0,"numeric"
"81","ra017d","Highest level of education respondent completed",0,"numeric"
"82","ra017e","Occupation of the respondent",1,"character"
"83","ra017f","Respondents designation",0,"numeric"
"84","ra017f_other","Respondents other designation",1,"character"
"85","rb001","Type of roads",0,"numeric"
"86","rb002","Road width",0,"numeric"
"87","rb003","Main source of drinking water",0,"numeric"
"88","rb003_other","Main source of drinking water - other",1,"character"
"89","rb004","Pay for water",0,"numeric"
"90","rb005","Total cost of water supply per month",0,"numeric"
"91","rb006","Drainage facility available",0,"numeric"
"92","rb006a","Type of drainage facility",0,"numeric"
"93","rb007","Percentage of households having private toilets",0,"numeric"
"94","rb007a","Location of toilets",0,"numeric"
"95","rb008","Any public toilet in village",0,"numeric"
"96","rb008a","Public toilet maintained by",0,"numeric"
"97","rb008a_other","Public toilet maintained by - other",1,"character"
"98","rb009","Household waste disposal",0,"numeric"
"99","rb010","Main type of fuel used for cooking",0,"numeric"
"100","rb010_other","Main type of fuel used for cooking - other",1,"character"
"101","rb011","Main source for lighting",0,"numeric"
"102","rb011_other","Main source for lighting- other",1,"character"
"103","rb012","Year when electricity introduced in village",0,"numeric"
"104","rb013","Percentage of households having electricity connection",0,"numeric"
